104,[2.02851798],[84.72404416],[[  2.02851798   4.98030715 -84.72404416]],[[ 0.99774835  0.0283675  -0.06077421]],[[-0.02834673  0.99959743  0.00120413]],[[6.07839067e-02 5.21332601e-04 9.98150813e-01]]
105,[2.11520862],[85.71765175],[[  2.11520862   5.0526168  -85.71765175]],[[ 0.99767653  0.02809924 -0.06206434]],[[-2.81717047e-02  9.99603056e-01 -2.92580889e-04]],[[0.06203148 0.00204036 0.99807211]]
106,[2.19166442],[86.71337197],[[  2.19166442   5.10453752 -86.71337197]],[[ 0.99760552  0.02720094 -0.06358723]],[[-0.02735472  0.99962459 -0.00154883]],[[0.06352123 0.00328454 0.99797508]]
107,[2.27477337],[87.70912512],[[  2.27477337   5.14414259 -87.70912512]],[[ 0.99755511  0.02703025 -0.06444504]],[[-0.02720416  0.99962824 -0.00182249]],[[0.06437182 0.0035712  0.99791959]]
108,[2.36156429],[88.70492827],[[  2.36156429   5.17318423 -88.70492827]],[[ 0.99753991  0.02741111 -0.06451939]],[[-0.02757408  0.99961842 -0.00163677]],[[0.0644499  0.0034118  0.99791511]]
109,[2.44692649],[89.69775242],[[  2.44692649   5.25693095 -89.69775242]],[[ 0.99756394  0.02678609 -0.06441035]],[[-0.02702635  0.99963063 -0.00286158]],[[0.06430991 0.00459539 0.99791939]]
110,[2.5347205],[90.69088227],[[  2.5347205    5.3342957  -90.69088227]],[[ 0.99754749  0.02647861 -0.06479108]],[[-0.02672096  0.99963879 -0.00287669]],[[0.0646915  0.00460091 0.9978947 ]]
111,[2.62113182],[91.6848948],[[  2.62113182   5.40116999 -91.6848948 ]],[[ 0.99749302  0.02645569 -0.06563368]],[[-0.02657975  0.99964618 -0.00101759]],[[0.06558354 0.00275957 0.99784327]]
112,[2.67235148],[92.68135902],[[  2.67235148   5.46777031 -92.68135902]],[[ 0.99745056  0.0274408  -0.06587396]],[[-0.02740761  0.99962335  0.00140776]],[[6.58877784e-02 4.01280744e-04 9.97826959e-01]]
113,[2.74223545],[93.67674236],[[  2.74223545   5.53355966 -93.67674236]],[[ 0.99747505  0.02725411 -0.06557996]],[[-0.02703709  0.99962563  0.00419462]],[[ 0.06566973 -0.00241094  0.9978385 ]]
114,[2.79939275],[94.67243888],[[  2.79939275   5.60650824 -94.67243888]],[[ 0.99755924  0.02524412 -0.0651022 ]],[[-0.02493991  0.99967392  0.00548141]],[[ 0.06521935 -0.00384439  0.99786355]]
115,[2.89279451],[95.66707035],[[  2.89279451   5.65105426 -95.66707035]],[[ 0.99764108  0.02171862 -0.06511964]],[[-0.02148363  0.99975992  0.00430676]],[[ 0.06519754 -0.00289759  0.99786817]]
116,[2.97792033],[96.66216678],[[  2.97792033   5.70141978 -96.66216678]],[[ 0.99767586  0.01996598 -0.06514784]],[[-0.01984479  0.99979993  0.0025069 ]],[[ 0.06518486 -0.00120823  0.99787247]]
117,[3.06622544],[97.65640739],[[  3.06622544   5.76214709 -97.65640739]],[[ 0.99764368  0.01972462 -0.06571172]],[[-0.01964886  0.99980532  0.00179902]],[[ 6.57344111e-02 -5.03623470e-04  9.97837028e-01]]
118,[3.14615203],[98.65230684],[[  3.14615203   5.80452681 -98.65230684]],[[ 0.99762432  0.02008072 -0.06589752]],[[-0.01995484  0.99979758  0.00256793]],[[ 0.06593574 -0.00124686  0.99782309]]
119,[3.20808874],[99.64970114],[[  3.20808874   5.84151942 -99.64970114]],[[ 0.99761909  0.02017081 -0.06594914]],[[-0.01993858  0.99979248  0.00417763]],[[ 0.06601972 -0.00285275  0.99781424]]
120,[3.26176193],[100.64709845],[[   3.26176193    5.88966289 -100.64709845]],[[ 0.99756209  0.02189673 -0.06626013]],[[-0.02158037  0.99975206  0.0054866 ]],[[ 0.06636385 -0.00404331  0.9977873 ]]
121,[3.27184493],[101.6463511],[[   3.27184493    5.92697861 -101.6463511 ]],[[ 0.99749862  0.02288723 -0.06687807]],[[-0.02253169  0.99972773  0.00606587]],[[ 0.06699869 -0.00454383  0.99774272]]
122,[3.31066753],[102.6451093],[[   3.31066753    5.95820156 -102.6451093 ]],[[ 0.9974214   0.02410475 -0.06759822]],[[-0.0237062   0.99969657  0.00669192]],[[ 0.06773901 -0.00507217  0.99769018]]
123,[3.36505332],[103.64278754],[[   3.36505332    5.9991932  -103.64278754]],[[ 0.9973761   0.02550592 -0.06775221]],[[-0.02506511  0.99965881  0.00734849]],[[ 0.06791652 -0.00563099  0.99767512]]
124,[3.46974555],[104.63346867],[[   3.46974555    6.08631633 -104.63346867]],[[ 0.9973515   0.0250423  -0.06828519]],[[-0.02464448  0.99967408  0.00666214]],[[ 0.06842977 -0.00496164  0.9976436 ]]
125,[3.58106842],[105.62709087],[[   3.58106842    6.10426434 -105.62709087]],[[ 0.99733977  0.02513461 -0.06842241]],[[-0.02481322  0.99967674  0.00554313]],[[ 0.06853962 -0.00383061  0.99764104]]
126,[3.65357511],[106.62403449],[[   3.65357511    6.13335394 -106.62403449]],[[ 0.99732241  0.02537643 -0.06858602]],[[-0.02516613  0.99967556  0.00392864]],[[ 0.06866346 -0.00219208  0.99763747]]
